Country,Year,Latitude,Longitude,Death_Category
Colombia,18,5.3,-74.6,101-1000 Deaths
Turkey,19,40.76,29.97,>1001 Deaths
Indonesia,19,1.131,120.858,1-50 Deaths
Albania,18,40.4,19.5,51-100 Deaths
Italy,18,40.3,16.0,>1001 Deaths
Chile,19,-26.535,-70.563,1-50 Deaths
Greece,18,36.4,22.2,51-100 Deaths
Indonesia,19,5.723,94.722,1-50 Deaths
Kyrgyzstan,18,42.7,74.1,51-100 Deaths
El Salvador,19,13.313,-89.339,1-50 Deaths
Greece,18,38.2,22.1,51-100 Deaths
Italy,18,40.7,13.9,>1001 Deaths
Philippines,19,15.766,119.74,1-50 Deaths
Costa Rica,19,9.685,-83.073,51-100 Deaths
China,18,25.6,100.6,101-1000 Deaths
Turkey,18,40.2,29.1,>1001 Deaths
Balkans Nw,19,41.959,21.54,1-50 Deaths
Greece,19,38.5,20.3,51-100 Deaths
Turkmenistan,19,37.95,58.32,>1001 Deaths
Indonesia,19,-2.071,124.891,1-50 Deaths
Italy,18,37.6,15.0,51-100 Deaths
China,19,23.5,117.2,>1001 Deaths
Italy,18,37.8,14.0,51-100 Deaths
Tajikistan,19,39.2,70.8,>1001 Deaths
Turkey,20,40.693,32.992,1-50 Deaths
Peru,19,-17.0,-74.0,51-100 Deaths
Turkey,19,41.4,32.7,>1001 Deaths
Algeria,19,35.321,-1.281,1-50 Deaths
Colombia-Ecuador,19,1.5,-79.5,101-1000 Deaths
Italy,19,44.3,10.3,>1001 Deaths
Turkey,20,38.457,31.351,1-50 Deaths
China,19,30.5,91.5,51-100 Deaths
China,19,37.35,114.92,101-1000 Deaths
Turkey,19,40.7,30.9,101-1000 Deaths
Pakistan,19,24.5,63.0,>1001 Deaths
Greece,18,38.2,21.8,51-100 Deaths
Philippines,20,12.025,125.416,1-50 Deaths
Turkey,19,40.0,42.0,51-100 Deaths
Algeria,18,36.4,2.8,>1001 Deaths
New Zealand,20,-39.011,178.291,1-50 Deaths
Algeria,19,35.75,5,101-1000 Deaths
Italy,19,40.775,15.766,1-50 Deaths
Peru,19,-4.0,-80.7,51-100 Deaths
Italy,19,37.3,15.438,1-50 Deaths
Italy,18,44.3,9.4,51-100 Deaths
Chile,19,-35.0,-72,101-1000 Deaths
Greece,19,41.004,22.3,1-50 Deaths
Peru,19,-15.75,-72.75,51-100 Deaths
Kyrgyzstan,19,41.019,72.429,1-50 Deaths
Greece,19,38.0,20.5,51-100 Deaths
Myanmar (Burma),19,17.3,96.5,101-1000 Deaths
Greece,18,35.5,25.0,>1001 Deaths
California,19,34.262,-118.002,1-50 Deaths
Turkey,19,40.7,30.8,51-100 Deaths
China,19,31.9,103.4,>1001 Deaths
Chile,19,-23.34,-70.294,1-50 Deaths
Chile,18,-21.5,-70.5,51-100 Deaths
Italy,19,41.1,15.4,>1001 Deaths
Greece,19,35.8,24.8,51-100 Deaths
Pakistan,19,29.5,66.8,>1001 Deaths
Greece,19,38.401,22.283,1-50 Deaths
Italy,18,42.8,13.1,51-100 Deaths
Ecuador,19,-0.75,-81.5,101-1000 Deaths
Turkey,18,38.3,26.2,>1001 Deaths
China,18,43.8,87.6,1-50 Deaths
Chile,19,-36.25,-72.25,>1001 Deaths
Oregon,19,42.314,-122.012,1-50 Deaths
Colombia,18,1.2,-77.0,51-100 Deaths
Venezuela,18,10.6,-66.9,>1001 Deaths
Vanuatu Islands,19,-15.5,167.2,1-50 Deaths
Greece,19,36.5,27.5,51-100 Deaths
Iran,19,35.2,59.2,>1001 Deaths
California,19,34.412,-118.4,51-100 Deaths
China,19,31.5,101.0,>1001 Deaths
Iran,19,31.599,51.037,1-50 Deaths
China,19,35.4,115.1,101-1000 Deaths
China,19,24.1,102.5,>1001 Deaths
China,19,28.9,103.7,1-50 Deaths
Italy,18,39.3,16.3,51-100 Deaths
Iran,19,36.3,53.5,101-1000 Deaths
China,18,36.4,114.2,>1001 Deaths
Peru-Ecuador,19,-2.7,-77.4,1-50 Deaths
Greece,18,38.75,20.75,51-100 Deaths
Panama,18,10.0,-79.0,51-100 Deaths
California,19,33.62,-117.97,101-1000 Deaths
Balkans Nw,19,42.1,21.3,>1001 Deaths
Solomon Islands,19,-9.965,160.731,1-50 Deaths
India,19,23.0,70,101-1000 Deaths
Spain,18,38.2,-0.9,>1001 Deaths
China,19,28.6,103.6,101-1000 Deaths
Italy-Balkans Nw,19,46.28,13.16,1-50 Deaths
China,19,35.4,103.4,101-1000 Deaths
Philippines,19,16.77,122.33,1-50 Deaths
Turkey,19,39.2,29.5,>1001 Deaths
China,19,40.774,109.661,1-50 Deaths
Peru,19,-9.2,-78.8,>1001 Deaths
Chile,18,-36.83,-73.03,1-50 Deaths
Georgia,19,42.453,43.673,101-1000 Deaths
Greece,19,37.5,22.1,1-50 Deaths
Colombia,19,7.8,-72.5,101-1000 Deaths
China,18,39.8,76.6,1-50 Deaths
India,19,33.0,76.0,>1001 Deaths
China,18,39.7,75.9,1-50 Deaths
Morocco,19,30.45,-9.62,>1001 Deaths
The Netherlands,19,51.153,5.798,1-50 Deaths
China,19,27.291,100.276,101-1000 Deaths
Peru,19,-14.993,-75.675,1-50 Deaths
Iran,19,34.0,59.0,>1001 Deaths
Iraq,19,36.52,44.066,1-50 Deaths
Morocco,20,35.142,-3.997,101-1000 Deaths
China,19,24.4,103.0,1-50 Deaths
Azores,19,38.46,-28.31,1-50 Deaths
Chile,20,-36.122,-72.898,101-1000 Deaths
Romania,19,45.364,21.057,1-50 Deaths
Egypt,19,28.826,34.799,1-50 Deaths
Greece,19,38.119,23.605,101-1000 Deaths
Washington,19,47.4,-122.3,1-50 Deaths
Chile,19,-33.0,-72.0,>1001 Deaths
Bulgaria,19,43.4,28.7,1-50 Deaths
Turkey,19,40.758,31.161,101-1000 Deaths
Japan,19,34.583,135.018,>1001 Deaths
Turkey,19,39.1,41.6,1-50 Deaths
Chile,19,-28.5,-71.0,1-50 Deaths
North Corinth Gulf,19,38.267,22.3,1-50 Deaths
Chile,18,-18.6,-71.0,>1001 Deaths
Chile,20,-22.247,-69.89,1-50 Deaths
China,19,36.75,102.0,>1001 Deaths
Iran,19,37.1,57.9,1-50 Deaths
Japan,18,39.9,139.9,51-100 Deaths
Indonesia,18,-6.9,108.3,1-50 Deaths
Jamaica,18,18.0,-76.8,51-100 Deaths
Peru,19,-10.748,-78.638,101-1000 Deaths
China,19,39.57,117.98,>1001 Deaths
Turkey,19,41.8,32.3,1-50 Deaths
Venezuela,18,8.8,-70.9,51-100 Deaths
India,18,23.0,71.0,>1001 Deaths
Chile,18,-19.92,-70.335,1-50 Deaths
Ethiopia,18,12.3,39.0,51-100 Deaths
Nepal; India,19,26.773,86.762,>1001 Deaths
Indonesia,20,-3.609,135.404,1-50 Deaths
Japan,18,35.5,139.5,51-100 Deaths
Mexico,20,16.493,-98.231,1-50 Deaths
Greece,18,38.5,22.5,51-100 Deaths
China,18,25.2,103.0,>1001 Deaths
California,19,38.467,-122.692,1-50 Deaths
Virgin Islands,18,18.35,-64.9,51-100 Deaths
Ecuador,18,0.81,-77.72,1-50 Deaths
Papua New Guinea,18,-5.5,146.0,51-100 Deaths
Guinea,19,11.866,-13.529,101-1000 Deaths
Italy,18,41.2,14.7,>1001 Deaths
Turkey,19,39.1,28.7,1-50 Deaths
Turkey,18,38.7,29.4,51-100 Deaths
China,19,47.1,89.8,>1001 Deaths
China,18,33,104.6,1-50 Deaths
Ethiopia,18,16.0,38.5,51-100 Deaths
Colombia,19,1.598,-79.358,101-1000 Deaths
California,20,35.706,-121.102,1-50 Deaths
Papua New Guinea,19,-7.0,149.0,51-100 Deaths
Balkans Nw,19,42.096,19.209,101-1000 Deaths
Greece-Albania,19,39.536,20.398,1-50 Deaths
Morocco,19,35.6,-5.4,51-100 Deaths
Mexico,19,16.059,-96.931,1-50 Deaths
Taiwan,19,25.5,122.5,51-100 Deaths
Balkans Nw,19,44.209,20.08,1-50 Deaths
Tajikistan,19,38.2,72.8,51-100 Deaths
Mexico,19,18.211,-98.24,101-1000 Deaths
Austria,19,46.245,13.652,1-50 Deaths
Japan,19,39.2,139.8,51-100 Deaths
Albania,18,40.5,19.7,>1001 Deaths
France,19,43.2,-0.5,1-50 Deaths
Taiwan,19,23.9,120.9,51-100 Deaths
Turkey,19,41.0,33.7,>1001 Deaths
Armenia; Azerbaijan,18,40.5,48.1,1-50 Deaths
El Salvador,19,13.69,-89.19,51-100 Deaths
Taiwan,18,23.8,120.5,1-50 Deaths
China,19,36.8,83.8,51-100 Deaths
Turkey,19,38.1,27.4,101-1000 Deaths
Algeria,19,36.283,1.467,>1001 Deaths
Papua New Guinea,19,-4.907,145.471,1-50 Deaths
Indonesia,19,-7.3,109.8,51-100 Deaths
Venezuela,18,10.3,-66.8,101-1000 Deaths
Algeria,19,36.08,5.07,1-50 Deaths
Italy,19,38.8,16.0,51-100 Deaths
Iran,18,37.5,57.4,101-1000 Deaths
Turkey,19,40.324,27.222,1-50 Deaths
Turkey,19,37.919,40.211,51-100 Deaths
Philippines,18,14.55,120.9,101-1000 Deaths
India-China,19,28.5,96.5,>1001 Deaths
Mexico,20,18.77,-104.104,1-50 Deaths
Iran,19,36.3,53.3,51-100 Deaths
Albania,19,40.5,19.5,101-1000 Deaths
Italy,19,42.0,13.5,>1001 Deaths
Italy,19,42.5,11.8,1-50 Deaths
China,19,39.5,74.2,51-100 Deaths
New Zealand,19,-39.772,176.025,101-1000 Deaths
Turkey; Syria,18,36.0,36.0,>1001 Deaths
China,18,38.1,115.5,1-50 Deaths
China,19,42.7,121.3,51-100 Deaths
Italy,18,40.7,13.9,101-1000 Deaths
China,18,33.2,104.7,>1001 Deaths
Philippines,19,18.231,120.86,1-50 Deaths
Peru,19,-14.2,-71.5,51-100 Deaths
Indonesia,18,1.48,124.85,101-1000 Deaths
Washington,20,47.149,-122.727,1-50 Deaths
Algeria,19,36.1,4.5,51-100 Deaths
Russia,18,43.5,47.5,101-1000 Deaths
China,18,23,101.1,1-50 Deaths
Chile,19,-38.0,-73.5,51-100 Deaths
Colombia,19,1.0,-77.5,101-1000 Deaths
Turkey,18,36.0,36.0,>1001 Deaths
